date,SO2_OesteAvdaArgentina,SO2_EsteAvdaCastilla,NO2_OesteAvdaArgentina,NO_EsteAvdaCastilla,NO2_OesteAvdaArgentina,NO2_EsteAvdaCastilla,CO_OesteAvdaArgentina,CO_EsteAvdaCastilla,PM10_OesteAvdaArgentina,PM10_EsteAvdaCastilla,O3_OesteAvdaArgentina,O3_EsteAvdaCastilla,SO2_GijonGlobal,NO_GijonGlobal,NO2_GijonGlobal,CO_GijonGlobal,PM10_GijonGlobal,O3_GijonGlobal
2023-12-18,14.0,8.0,56.0,55.0,56.0,40.0,0.38,0.61,60.0,36.0,40.0,44.0,14.0,141.0,73.0,0.86,164.0,72.0
2021-12-13,26.0,13.0,50.0,144.0,50.0,54.0,6.45,1.57,89.0,199.0,37.0,24.0,26.0,239.0,75.0,6.45,199.0,38.0
2022-10-13,7.0,3.0,30.0,36.0,30.0,28.0,2.16,0.82,70.0,54.0,58.0,42.0,21.0,43.0,42.0,2.16,70.0,58.0
2019-07-29,9.0,7.0,25.0,35.0,25.0,26.0,3.87,0.5,58.0,78.0,69.0,62.0,26.0,57.0,31.0,3.87,86.0,71.0
2021-11-26,19.0,2.0,57.0,37.0,57.0,57.0,3.02,0.61,77.0,53.0,57.0,63.0,19.0,44.0,67.0,3.02,77.0,76.0
2020-10-04,15.0,1.0,31.0,4.0,31.0,24.0,2.48,0.49,33.0,20.0,57.0,58.0,15.0,7.0,31.0,2.48,33.0,71.0
2021-11-09,5.0,5.0,69.0,44.0,69.0,47.0,0.59,1.42,102.0,29.0,53.0,62.0,6.0,115.0,69.0,1.42,102.0,68.0
2023-08-09,2.0,5.0,36.0,10.0,36.0,31.0,0.31,0.49,65.0,48.0,101.0,100.0,11.0,43.0,36.0,1.04,65.0,101.0
2023-02-14,26.0,15.0,67.0,170.0,67.0,73.0,3.84,0.84,92.0,59.0,80.0,71.0,26.0,170.0,93.0,3.84,92.0,80.0
2023-04-27,2.0,4.0,30.0,16.0,30.0,19.0,0.78,1.19,40.0,23.0,67.0,66.0,6.0,42.0,35.0,1.19,42.0,73.0
2019-09-18,3.0,3.0,36.0,25.0,36.0,34.0,1.3,0.69,50.0,49.0,97.0,82.0,5.0,39.0,43.0,1.3,57.0,97.0
2021-05-12,6.0,8.0,49.0,44.0,49.0,46.0,0.41,0.45,67.0,64.0,70.0,79.0,17.0,44.0,59.0,0.89,67.0,83.0
2019-09-15,2.0,2.0,25.0,9.0,25.0,23.0,0.89,0.65,48.0,68.0,97.0,81.0,7.0,11.0,37.0,0.89,68.0,97.0
2019-04-09,18.0,10.0,59.0,48.0,59.0,64.0,2.34,1.37,58.0,36.0,78.0,77.0,25.0,60.0,70.0,2.34,70.0,96.0
2022-07-27,2.0,5.0,20.0,7.0,20.0,15.0,0.11,0.11,35.0,20.0,55.0,75.0,5.0,8.0,53.0,0.28,35.0,80.0
2023-05-04,5.0,5.0,29.0,25.0,29.0,28.0,1.54,0.47,46.0,25.0,88.0,91.0,5.0,32.0,35.0,1.54,46.0,101.0
2020-05-26,6.0,1.0,26.0,9.0,26.0,27.0,0.4,0.36,51.0,69.0,74.0,77.0,6.0,17.0,34.0,0.4,69.0,87.0
2021-05-05,9.0,4.0,40.0,13.0,40.0,31.0,0.46,0.3,59.0,53.0,53.0,75.0,9.0,42.0,47.0,0.89,59.0,75.0
2019-12-08,26.0,8.0,35.0,26.0,35.0,38.0,4.34,0.76,53.0,43.0,60.0,51.0,26.0,26.0,41.0,4.34,53.0,76.0
2020-08-17,4.0,2.0,32.0,19.0,32.0,27.0,1.05,0.4,46.0,22.0,48.0,53.0,5.0,30.0,35.0,1.05,46.0,60.0
2020-10-26,15.0,10.0,35.0,12.0,35.0,33.0,0.89,0.11,49.0,19.0,66.0,63.0,15.0,20.0,38.0,0.89,49.0,67.0
2022-04-15,2.0,3.0,17.0,2.0,17.0,9.0,0.12,0.22,30.0,17.0,59.0,86.0,7.0,3.0,24.0,0.44,38.0,111.0
2023-09-22,2.0,6.0,27.0,5.0,27.0,21.0,1.65,0.3,51.0,30.0,93.0,79.0,11.0,16.0,28.0,1.65,51.0,93.0
2021-04-09,10.0,4.0,68.0,109.0,68.0,58.0,1.04,0.85,95.0,62.0,77.0,98.0,11.0,109.0,80.0,1.04,95.0,98.0
2020-06-28,2.0,2.0,12.0,12.0,12.0,12.0,0.99,0.36,28.0,22.0,44.0,58.0,3.0,12.0,16.0,0.99,34.0,73.0
2019-09-17,5.0,3.0,35.0,21.0,35.0,37.0,0.37,0.94,40.0,59.0,105.0,89.0,6.0,76.0,51.0,0.94,91.0,105.0
2020-01-28,6.0,6.0,59.0,44.0,59.0,52.0,0.44,0.77,39.0,108.0,61.0,70.0,18.0,93.0,75.0,0.95,108.0,86.0
2021-03-13,16.0,8.0,27.0,5.0,27.0,45.0,0.93,0.88,70.0,47.0,63.0,77.0,24.0,9.0,46.0,1.77,70.0,84.0
2020-08-28,3.0,9.0,21.0,16.0,21.0,33.0,0.5,0.43,37.0,37.0,49.0,52.0,12.0,16.0,33.0,0.83,41.0,65.0
2019-05-05,6.0,10.0,13.0,3.0,13.0,8.0,0.31,0.36,37.0,39.0,84.0,82.0,10.0,9.0,13.0,0.38,42.0,104.0
2023-11-09,15.0,9.0,44.0,12.0,44.0,43.0,1.37,1.04,77.0,24.0,56.0,66.0,15.0,12.0,45.0,1.37,77.0,107.0
2023-09-04,2.0,4.0,43.0,20.0,43.0,40.0,0.87,0.34,101.0,76.0,86.0,76.0,5.0,60.0,59.0,0.87,101.0,86.0
2022-07-04,2.0,3.0,14.0,10.0,14.0,13.0,0.13,0.54,29.0,18.0,38.0,60.0,4.0,10.0,14.0,0.54,33.0,69.0
2019-09-09,13.0,2.0,23.0,8.0,23.0,24.0,1.22,0.89,45.0,38.0,68.0,59.0,49.0,15.0,30.0,1.26,45.0,70.0
2023-08-19,1.0,4.0,13.0,5.0,13.0,12.0,0.18,0.3,29.0,21.0,69.0,64.0,4.0,7.0,14.0,0.7,30.0,69.0
2023-10-11,53.0,6.0,77.0,43.0,77.0,63.0,0.39,0.35,117.0,44.0,71.0,93.0,53.0,55.0,119.0,0.8,117.0,98.0
2020-05-20,10.0,2.0,32.0,14.0,32.0,34.0,7.04,0.7,68.0,44.0,86.0,96.0,16.0,46.0,42.0,7.04,68.0,107.0
2020-10-07,4.0,7.0,27.0,16.0,27.0,35.0,0.72,0.28,37.0,48.0,42.0,44.0,10.0,24.0,43.0,0.72,48.0,52.0
2019-05-19,7.0,14.0,27.0,10.0,27.0,40.0,0.97,0.45,36.0,26.0,79.0,82.0,34.0,17.0,48.0,1.21,36.0,95.0
2020-04-04,6.0,5.0,22.0,9.0,22.0,20.0,1.21,0.41,43.0,50.0,80.0,90.0,7.0,11.0,37.0,1.21,99.0,107.0
2023-08-30,4.0,4.0,31.0,7.0,31.0,24.0,0.48,0.39,49.0,35.0,92.0,80.0,18.0,12.0,31.0,0.81,49.0,92.0
2020-10-05,13.0,7.0,52.0,32.0,52.0,54.0,1.54,0.66,36.0,121.0,54.0,53.0,13.0,57.0,55.0,1.54,121.0,69.0
2021-02-14,39.0,6.0,41.0,35.0,41.0,49.0,1.39,0.98,97.0,242.0,55.0,63.0,39.0,60.0,60.0,1.39,242.0,75.0
2023-09-18,2.0,4.0,43.0,4.0,43.0,28.0,2.09,0.57,89.0,41.0,95.0,78.0,17.0,15.0,46.0,2.09,89.0,95.0
2020-10-03,15.0,1.0,23.0,6.0,23.0,39.0,1.71,0.55,37.0,29.0,61.0,65.0,15.0,12.0,41.0,1.71,37.0,79.0
2020-07-22,2.0,2.0,35.0,11.0,35.0,33.0,0.28,0.38,42.0,71.0,85.0,96.0,2.0,13.0,35.0,0.47,71.0,112.0
2023-07-28,11.0,7.0,17.0,22.0,17.0,24.0,1.14,0.8,63.0,30.0,61.0,68.0,11.0,29.0,24.0,1.14,63.0,68.0
2019-02-21,21.0,5.0,74.0,122.0,74.0,75.0,5.2,0.71,124.0,53.0,68.0,72.0,21.0,237.0,99.0,5.2,124.0,78.0
2021-02-03,43.0,6.0,37.0,18.0,37.0,46.0,0.52,0.67,80.0,32.0,65.0,75.0,43.0,38.0,73.0,1.19,80.0,75.0
2022-08-20,3.0,2.0,21.0,10.0,21.0,16.0,0.18,0.29,33.0,63.0,88.0,91.0,4.0,11.0,29.0,0.31,63.0,92.0
2019-08-16,11.0,4.0,26.0,22.0,26.0,36.0,2.0,0.82,54.0,48.0,65.0,66.0,21.0,33.0,43.0,2.0,61.0,73.0
2022-01-22,4.0,2.0,27.0,1.0,27.0,16.0,0.17,0.32,44.0,22.0,71.0,73.0,4.0,19.0,27.0,0.52,44.0,86.0
2022-06-25,4.0,2.0,27.0,6.0,27.0,19.0,0.25,0.77,34.0,47.0,40.0,75.0,78.0,8.0,27.0,0.88,47.0,77.0
2022-06-17,3.0,2.0,60.0,13.0,60.0,32.0,0.52,1.01,115.0,78.0,56.0,104.0,7.0,36.0,60.0,1.01,115.0,110.0
2020-06-29,2.0,5.0,15.0,7.0,15.0,13.0,0.97,0.24,41.0,18.0,46.0,56.0,5.0,10.0,27.0,0.97,41.0,69.0
2022-02-17,20.0,13.0,51.0,109.0,51.0,44.0,0.89,0.72,93.0,94.0,53.0,65.0,21.0,143.0,56.0,0.89,94.0,70.0
2019-12-29,8.0,6.0,41.0,120.0,41.0,49.0,2.79,1.01,47.0,76.0,34.0,28.0,10.0,281.0,79.0,2.79,95.0,37.0
2023-04-25,4.0,5.0,30.0,36.0,30.0,29.0,1.9,0.71,89.0,52.0,70.0,59.0,9.0,70.0,39.0,1.9,89.0,70.0
2019-09-06,4.0,2.0,40.0,6.0,40.0,25.0,1.25,0.23,63.0,25.0,74.0,65.0,4.0,70.0,54.0,1.25,63.0,76.0
2020-08-02,3.0,1.0,14.0,7.0,14.0,18.0,0.86,0.31,22.0,25.0,54.0,54.0,3.0,13.0,18.0,0.86,29.0,69.0
2019-07-13,2.0,2.0,15.0,7.0,15.0,8.0,0.26,0.3,23.0,15.0,85.0,89.0,4.0,11.0,20.0,0.3,23.0,99.0
2023-04-05,8.0,5.0,36.0,29.0,36.0,40.0,1.08,0.36,59.0,28.0,103.0,101.0,8.0,48.0,48.0,1.08,108.0,105.0
2020-07-01,2.0,5.0,26.0,6.0,26.0,12.0,1.26,0.36,42.0,74.0,36.0,55.0,10.0,24.0,28.0,1.26,74.0,60.0
2020-04-20,5.0,6.0,21.0,19.0,21.0,27.0,0.49,0.41,35.0,29.0,72.0,83.0,7.0,19.0,27.0,0.53,35.0,100.0
2022-07-16,3.0,3.0,34.0,5.0,34.0,18.0,1.03,1.08,96.0,64.0,66.0,98.0,25.0,14.0,41.0,1.37,96.0,99.0
2021-11-17,7.0,5.0,46.0,61.0,46.0,37.0,0.85,0.59,93.0,30.0,47.0,50.0,7.0,102.0,48.0,0.85,93.0,58.0
2022-07-03,2.0,3.0,13.0,7.0,13.0,9.0,0.13,0.52,31.0,19.0,39.0,62.0,5.0,9.0,17.0,0.52,31.0,70.0
2019-08-04,3.0,1.0,26.0,16.0,26.0,21.0,0.75,0.47,40.0,27.0,58.0,63.0,10.0,16.0,28.0,1.08,40.0,68.0
2023-11-16,3.0,5.0,33.0,3.0,33.0,38.0,0.74,0.84,34.0,43.0,58.0,61.0,9.0,14.0,44.0,1.06,48.0,93.0
2020-09-08,3.0,2.0,23.0,4.0,23.0,14.0,0.69,0.2,47.0,25.0,81.0,88.0,3.0,13.0,29.0,0.69,47.0,104.0
2021-02-01,78.0,17.0,57.0,12.0,57.0,48.0,2.04,1.18,111.0,233.0,50.0,71.0,78.0,98.0,75.0,2.04,233.0,81.0
2023-09-16,2.0,4.0,69.0,8.0,69.0,26.0,0.69,0.87,45.0,37.0,125.0,105.0,8.0,28.0,69.0,0.87,45.0,125.0
2021-08-25,3.0,4.0,43.0,11.0,43.0,27.0,0.12,0.53,88.0,35.0,80.0,78.0,5.0,83.0,61.0,0.53,88.0,82.0
2020-01-07,37.0,6.0,54.0,100.0,54.0,44.0,2.0,0.88,68.0,54.0,34.0,26.0,37.0,226.0,78.0,2.0,76.0,40.0
2021-10-08,11.0,4.0,37.0,87.0,37.0,44.0,0.66,0.59,98.0,35.0,67.0,74.0,11.0,135.0,49.0,0.66,98.0,80.0
2019-04-24,7.0,10.0,62.0,66.0,62.0,50.0,1.27,0.72,53.0,38.0,80.0,68.0,10.0,125.0,81.0,1.27,53.0,100.0
2019-03-25,6.0,9.0,19.0,2.0,19.0,8.0,0.95,0.32,49.0,62.0,88.0,98.0,9.0,9.0,25.0,0.95,62.0,108.0
2021-05-20,21.0,4.0,36.0,36.0,36.0,37.0,4.06,0.35,103.0,37.0,61.0,87.0,21.0,58.0,44.0,4.06,103.0,87.0
2021-01-25,2.0,2.0,47.0,8.0,47.0,23.0,0.28,0.5,28.0,21.0,56.0,73.0,5.0,36.0,52.0,0.75,43.0,75.0
2020-02-17,4.0,7.0,59.0,34.0,59.0,50.0,0.86,0.9,49.0,62.0,67.0,74.0,28.0,34.0,73.0,1.51,62.0,89.0
2023-02-22,4.0,13.0,68.0,47.0,68.0,51.0,0.5,0.95,118.0,78.0,76.0,76.0,13.0,87.0,68.0,1.72,118.0,79.0
2020-07-03,3.0,1.0,26.0,15.0,26.0,13.0,0.41,0.36,42.0,33.0,53.0,64.0,8.0,26.0,32.0,0.41,42.0,78.0
2023-08-06,2.0,5.0,4.0,6.0,4.0,15.0,0.16,0.25,23.0,22.0,58.0,79.0,5.0,6.0,15.0,0.51,33.0,79.0
