date,C01_BibioArenaMestas_trafico,C02_CentroPlaya_trafico,C03_CentroLlano_trafico,C04_LaviadaPoligono_trafico,C05_CotoViesques_trafico,C06_LlanoPumarin_trafico,C07_LlanoMontevil_trafico,C08_NuevoGijonBrana_trafico,C09_LaCalzada_trafico,C10_ContruecesGijonSurRoces_trafico,C11_NatahoyoMoredaTremañes_trafico,C12_Ceares_trafico
2022-05-09,4027.5,3175.0,3135.0,4031.0,3107.0,2020.0,3297.0,2900.5,3120.0,2140.0,2756.0,5599.0
2022-08-24,3363.0,3536.0,3143.0,3956.5,2571.0,1928.5,2969.0,2361.0,2502.0,2086.5,2836.0,5274.0
2022-02-15,3720.5,3199.0,2972.0,4014.0,3359.0,2080.5,2574.0,3004.0,3249.0,2359.0,2216.5,5670.5
2021-08-26,3829.0,3788.5,3261.0,4348.0,2700.0,1930.0,2324.0,2711.5,3122.0,2356.0,2623.5,5592.5
2022-01-28,823.0,719.0,672.0,911.0,852.0,471.0,698.0,699.0,784.0,578.0,680.0,1321.5
2019-04-19,3045.0,3422.0,2622.0,3660.0,1737.0,1258.5,1348.0,1650.0,1790.0,1479.0,1591.5,3399.0
2019-09-26,5039.0,4724.0,3574.0,44160.0,3628.0,2414.0,2623.5,3465.0,3039.0,2635.0,3129.5,6502.0
2019-11-13,4843.0,4507.0,3620.0,9930.5,4239.0,2551.0,2755.0,3265.0,3160.0,2670.5,3319.5,6364.0
2023-09-13,3427.0,2651.5,3310.0,3308.0,2727.0,2006.0,3189.0,3063.0,2888.0,2224.0,2891.5,5825.0
2022-01-18,3730.5,3008.5,2773.0,3677.0,3065.0,1925.0,3074.0,2759.0,3006.0,2350.0,2514.5,5247.0
2019-06-29,3178.0,3648.5,2650.0,3830.0,2062.0,1264.5,1574.5,1766.5,1930.0,1614.5,1646.5,3915.0
2022-10-24,4210.0,3270.5,3184.0,3835.0,3020.0,2037.0,3264.0,2765.5,2811.0,2310.5,3178.5,5910.0
2020-12-03,3559.0,3069.0,2456.0,3809.0,3036.0,1689.0,2341.5,2790.0,2701.5745523584314,2284.5,2552.0,5329.0
2023-11-28,2375.0,3080.0,2497.0,3706.0,3042.0,2078.0,3228.0,3029.0,2942.0,2468.0,3112.5,5907.0
2021-06-29,2308.5,2495.5,1830.0,2540.0,1711.0,1204.5,1749.0,2066.0,2211.0,1547.5,1595.5,3415.5
